"","TRUST_SCI_expert","TRUST_SCI_honest","TRUST_SCI_concerned","TRUST_SCI_open","TRUST_SCI_intellig","TRUST_SCI_ethical","TRUST_SCI_improve","TRUST_SCI_trans","TRUST_SCI_qualified","TRUST_SCI_sincere","TRUST_SCI_otherint","TRUST_SCI_otherviews"
"1",4,3,4,3,4,4,3,4,4,3,4,3
"2",1,1,1,1,2,1,1,1,1,1,2,2
"3",4,4,3,3,5,4,3,2,5,2,3,3
"4",2,2,2,2,5,3,2,2,5,2,2,2
"5",3,3,3,2,2,3,3,2,3,3,3,2
"6",2,3,2,3,4,4,4,3,4,4,3,2
"7",3,3,2,3,4,4,5,5,4,3,2,4
"8",2,3,3,2,2,4,2,4,2,2,3,4
"9",3,3,3,3,4,4,4,4,4,3,3,4
"10",3,3,3,2,4,4,4,4,5,3,3,3
"11",2,3,1,3,4,4,3,3,4,4,2,2
"12",1,1,1,2,3,2,1,1,5,1,1,1
"13",3,3,3,3,4,4,4,4,5,4,3,3
"14",4,4,4,3,5,4,4,4,4,4,3,2
"15",4,3,4,3,5,4,4,4,4,4,4,4
"16",4,4,5,3,4,4,5,4,4,3,4,4
"17",3,3,3,3,4,3,3,3,3,3,3,3
"18",3,3,2,3,4,4,4,4,5,4,4,3
"19",3,3,3,4,4,4,4,3,4,4,4,3
"20",3,2,2,1,4,3,4,3,4,3,2,3
"21",4,4,5,4,4,4,4,3,4,4,3,3
"22",3,3,2,2,4,4,4,4,4,4,4,4
"23",3,3,3,3,4,2,2,2,2,2,2,2
"24",3,4,3,4,4,3,3,4,4,2,2,2
"25",3,4,3,5,4,4,4,4,2,3,3,3
"26",3,3,3,4,5,3,3,3,5,3,3,3
"27",2,3,2,4,5,4,2,4,4,4,4,4
"28",2,3,1,2,4,4,3,4,4,3,2,4
"29",3,3,3,4,4,4,5,4,5,4,3,4
"30",3,3,3,2,4,4,4,4,5,5,5,3
"31",3,4,4,4,4,5,5,5,4,4,4,4
"32",3,3,2,2,3,2,2,2,3,2,2,3
"33",3,3,3,3,3,3,3,3,4,3,3,3
"34",3,3,3,2,4,3,4,3,4,3,2,3
"35",5,3,1,2,2,1,4,1,4,2,2,2
"36",3,3,3,3,4,4,2,5,5,1,2,1
"37",2,2,1,1,4,3,2,2,4,3,2,1
"38",4,4,3,4,4,4,4,3,4,3,4,4
"39",3,2,2,2,3,2,2,1,2,1,2,3
"40",1,1,2,3,3,3,2,2,2,2,2,2
"41",4,4,3,5,5,5,5,4,5,4,4,5
"42",3,3,2,3,5,3,3,3,4,3,3,2
"43",4,4,3,3,4,5,4,4,5,3,3,4
"44",4,4,3,3,4,4,5,4,4,4,4,3
"45",3,2,2,3,3,2,3,3,2,2,1,4
"46",2,2,2,3,4,2,2,2,3,2,3,2
"47",4,3,4,4,5,4,4,5,5,4,3,4
"48",3,4,4,4,4,4,4,4,4,4,3,2
"49",2,3,1,1,3,2,2,3,2,2,2,3
"50",2,2,2,1,5,4,4,4,3,3,3,3
"51",2,3,3,3,4,4,3,2,3,3,4,2
"52",2,3,4,4,4,3,4,4,4,4,4,4
"53",3,1,1,1,4,3,1,1,5,1,1,1
"54",2,3,3,4,5,3,3,4,4,2,2,2
"55",2,3,4,3,5,5,4,3,5,4,3,3
"56",2,1,2,1,3,2,2,2,4,2,2,2
"57",4,3,3,4,5,4,4,4,5,4,3,3
"58",4,3,3,2,5,4,3,3,4,4,3,3
"59",2,2,1,2,3,3,2,3,3,3,2,2
"60",4,3,3,4,4,4,4,3,4,4,4,3
"61",3,3,3,3,4,4,4,3,4,3,4,3
"62",2,3,4,2,3,2,4,2,5,5,2,4
"63",3,2,3,2,4,2,3,2,2,2,3,2
"64",3,2,1,1,5,4,3,2,4,3,2,1
"65",1,2,3,2,4,3,4,2,3,3,3,2
"66",1,3,3,4,4,4,4,3,4,4,4,4
"67",2,2,1,1,2,3,2,2,2,2,1,1
"68",3,2,2,2,4,5,4,2,4,1,3,2
"69",3,3,3,3,4,4,4,1,4,2,2,2
"70",2,1,2,3,5,4,4,2,5,2,2,2
"71",3,3,3,4,4,4,4,3,3,3,3,3
"72",2,2,2,3,4,3,2,4,4,3,2,3
"73",3,2,1,1,3,3,1,1,3,1,1,1
"74",3,3,1,3,4,3,1,3,4,1,1,1
"75",3,3,3,3,4,4,4,4,4,4,4,4
"76",3,3,2,3,3,3,2,2,3,3,3,3
"77",3,3,3,2,4,4,4,4,4,4,4,3
"78",2,2,1,2,5,4,4,5,5,3,4,3
"79",3,3,4,5,5,4,4,5,4,3,3,3
"80",1,3,3,2,4,4,2,2,4,3,2,2
"81",2,3,3,3,4,4,2,3,4,3,3,4
"82",2,2,2,2,3,4,3,3,3,3,4,3
"83",2,3,3,3,4,3,3,4,2,3,3,3
"84",1,1,1,1,1,1,1,1,1,1,1,1
"85",1,2,1,1,3,2,2,2,2,1,2,2
"86",3,3,4,4,4,4,4,4,4,4,4,3
"87",3,3,2,2,3,2,2,2,3,3,3,2
"88",4,4,4,3,5,5,4,4,4,4,4,3
"89",3,5,3,2,5,4,4,4,4,3,2,2
"90",2,3,2,3,4,3,2,3,3,3,2,1
"91",3,2,1,4,3,4,4,4,4,2,1,2
"92",3,3,3,3,4,4,4,3,4,4,4,3
"93",2,2,3,2,4,3,3,4,3,3,3,3
"94",3,3,2,2,4,4,3,2,4,2,2,2
"95",1,1,1,1,5,4,2,1,2,4,1,1
"96",3,3,4,4,4,4,4,3,2,4,4,3
"97",3,4,3,3,4,3,4,4,3,4,3,4
"98",3,3,3,4,5,4,4,4,4,4,4,3
"99",3,2,3,3,3,2,3,2,5,3,2,2
"100",3,3,4,2,4,4,4,4,4,3,3,2
"101",2,2,3,2,4,4,2,1,4,2,2,2
"102",3,3,1,4,4,4,2,2,4,2,3,3
"103",3,3,3,4,5,4,4,2,4,3,4,3
"104",3,3,2,5,4,4,3,3,4,4,3,2
"105",4,3,4,3,5,5,5,2,5,3,4,4
"106",3,1,3,2,4,4,3,1,5,2,1,2
"107",3,3,3,2,4,4,4,3,3,4,3,2
"108",4,2,2,3,5,4,3,2,4,2,2,2
"109",3,2,1,2,4,2,1,2,2,2,1,3
"110",3,2,3,3,2,4,2,2,4,3,2,4
"111",4,3,4,4,5,4,4,4,4,4,4,4
"112",3,2,2,3,3,4,2,2,3,4,4,2
"113",4,3,4,4,4,4,4,4,4,3,4,4
"114",4,3,4,2,5,3,4,1,5,2,3,1
"115",3,2,3,3,4,3,4,2,4,3,4,2
"116",4,3,3,2,4,3,3,4,4,2,3,3
"117",2,4,4,3,4,4,3,3,4,4,4,4
"118",3,2,2,4,5,4,3,1,5,2,3,2
"119",3,3,3,4,4,4,4,3,4,4,3,4
"120",3,3,2,3,4,4,2,2,4,2,2,3
"121",3,3,2,3,3,2,4,2,3,4,3,4
"122",3,4,3,3,4,4,5,3,5,4,3,2
"123",4,4,4,4,4,5,4,3,4,4,4,4
"124",4,3,3,5,5,4,5,4,4,4,4,4
"125",2,4,2,3,5,5,4,2,2,2,2,2
"126",3,4,4,4,5,5,5,4,4,3,4,3
"127",3,3,2,3,4,4,2,3,4,3,3,2
"128",1,2,1,1,4,4,4,4,4,3,3,3
"129",2,2,2,3,4,4,4,4,4,3,3,3
"130",3,3,2,2,4,3,4,2,4,3,2,2
"131",3,4,3,4,4,4,4,4,4,4,3,3
"132",3,3,2,3,3,4,3,4,3,2,2,2
"133",3,3,3,3,5,4,2,3,5,4,4,3
"134",3,4,4,3,5,4,4,4,4,4,4,4
"135",3,3,3,3,5,4,3,3,4,3,2,1
"136",3,3,3,3,5,5,5,5,5,4,4,4
"137",3,4,3,2,5,4,4,4,4,4,3,3
"138",3,2,3,4,4,3,3,4,4,4,3,4
"139",3,3,4,2,5,3,4,2,4,2,3,4
"140",2,2,1,2,4,4,2,1,5,2,1,1
"141",3,3,1,3,4,3,4,3,4,3,4,3
"142",4,3,4,4,4,5,5,5,5,5,4,4
"143",2,1,2,3,4,3,3,3,5,3,3,3
"144",3,3,2,4,4,4,5,4,4,3,4,4
"145",3,3,3,3,5,5,5,5,5,3,5,3
"146",3,3,2,4,4,4,3,2,3,3,2,2
"147",2,3,2,2,4,5,4,4,4,4,3,4
"148",2,1,1,3,2,1,1,1,2,1,1,2
"149",3,2,3,2,4,5,4,3,3,2,4,4
"150",3,4,4,2,3,2,1,2,3,3,3,3
"151",1,1,1,1,5,5,5,5,5,5,5,5
"152",4,4,3,4,5,4,4,4,4,4,4,4
"153",3,3,4,5,4,4,5,2,4,3,4,4
"154",3,3,3,2,3,3,4,3,3,3,3,3
"155",3,4,4,4,4,4,4,3,3,3,3,3
"156",2,2,5,5,5,4,5,1,2,3,2,2
"157",2,3,1,3,5,5,5,2,5,3,4,3
"158",3,3,4,1,2,3,2,1,4,1,1,1
"159",3,3,3,2,4,3,4,3,4,3,3,3
"160",3,2,1,3,5,4,3,3,4,4,3,3
"161",2,3,3,3,4,4,4,3,5,3,3,3
"162",3,3,3,4,4,4,3,3,4,3,3,3
"163",4,3,3,4,4,3,4,4,4,3,3,2
"164",4,3,4,4,3,4,4,3,4,2,3,4
"165",3,3,3,4,4,3,3,4,4,4,3,4
"166",3,3,4,2,4,4,3,2,4,3,2,4
"167",3,2,1,1,5,5,3,2,5,2,2,2
"168",3,3,2,3,4,4,4,3,4,3,4,3
"169",1,2,1,1,3,2,3,3,3,3,3,3
"170",2,2,3,3,4,3,3,3,2,3,3,3
"171",2,2,2,2,4,4,4,2,2,2,4,2
"172",4,4,4,4,5,5,5,5,5,4,4,4
"173",4,4,3,4,5,4,4,3,5,4,3,3
"174",3,3,4,3,4,4,4,3,4,3,4,4
"175",4,4,4,5,5,5,5,4,5,3,4,4
"176",4,4,5,5,5,4,5,5,5,5,5,5
"177",3,3,2,4,5,5,4,3,5,2,2,4
"178",5,5,4,3,4,4,4,4,4,5,4,5
"179",3,3,3,3,4,4,3,3,4,3,2,3
"180",4,3,5,1,4,2,4,3,5,5,2,3
"181",2,2,2,1,1,2,1,1,1,2,3,2
"182",3,3,3,3,4,4,4,4,4,3,3,4
"183",3,3,3,3,4,4,4,3,4,3,3,3
"184",3,3,3,2,4,4,3,2,5,2,1,1
"185",3,3,3,3,4,4,4,2,4,3,4,3
"186",1,1,1,1,1,1,1,1,1,1,1,1
"187",4,3,4,5,5,4,5,1,4,4,5,4
"188",4,3,3,2,4,4,4,4,5,4,4,4
"189",3,3,3,4,5,4,4,3,4,4,4,4
"190",3,3,3,3,4,3,3,3,4,3,3,3
"191",3,4,1,2,4,3,2,1,2,4,1,2
"192",3,3,3,2,4,3,3,2,2,3,2,2
"193",3,3,3,2,4,3,3,2,3,3,3,3
"194",3,3,3,2,4,4,4,2,3,3,2,4
"195",3,4,3,4,4,4,4,4,4,4,4,4
"196",3,2,1,2,4,3,2,1,4,2,1,2
"197",3,3,4,2,2,3,2,5,2,4,2,4
"198",3,3,3,3,4,4,4,4,4,4,4,4
"199",3,2,3,3,3,3,4,2,3,2,2,2
